,0,1,2,3
168,Quinta do Cavalinho 2018 Herdade dos Templários White (Tejo),83,A strange mix of perfume from Riesling in the blend and crisper ...,$14
169,S.A. Prüm 2015 Wehlener Sonnenuhr Vat 4 Beerenauslese Grosse Lage Riesling (Mosel),98,"A brilliant sip of gold and sunshine, this decadent beerenauslese offers spine-tingling ...",$200
170,S.A. Prüm 2015 Wehlener Sonnenuhr Vat 13 Trockenbeerenauslese Grosse Lage Riesling (Mosel),98,"Heady notes of rose petal, honey and lemon confit perfume this gorgeous, ...",$440
171,Robert Weil 2017 Kiedrich Gräfenberg Beernauslese Grosse Lage Riesling (Rheingau),97,"While featherlight in profile, this intensely perfumed beerenauslese offers layers of concentrated ...",$340
172,Smith-Madrone 2016 Estate Bottled Riesling (Spring Mountain District),95,"Opening with a lovely mix of apricot, green apple and petrol, this ...",$34
173,Robert Weil 2017 Kiedrich Gräfenberg Trocken GG Riesling (Rheingau),95,"Pristine, spine-tingling grapefruit and lemon flavors are nuanced by whiffs of earth, ...",$90
174,Schloss Johannisberger 2016 Silberlack Trocken GG Riesling (Rheingau),95,Enticing whiffs of blossom and apple are edged by salt and slate ...,$75
175,Hans Wirsching 2016 Iphöfer Julius-Echter-Berg Trockenbeerenauslese Gold Cap Riesling (Franken),95,"Zesty notes of underripe banana, white grapefruit and pear perfume this unctuously ...",N/A
176,S.A. Prüm 2017 Wehlener Sonnenuhr Spätlese Grosse Lage Riesling (Mosel),94,"While the nose is smoky and demure, the palate of this concentrated ...",$35
177,S.A. Prüm 2017 Graacher Himmelreich Spätlese Grosse Lage Riesling (Mosel),94,Hints of pollen and crushed slate lend counterpoints to lemon and white ...,$42
178,Trisaetum 2018 Wichmann Dundee Estate Dry Riesling (Dundee Hills),94,"A waxy scent leads quickly into a focused, sharply defined wine with ...",$32
179,Trisaetum 2018 Wichmann Dundee Riesling (Dundee Hills),94,This wine shows superb concentration and pinpoint focus. It's loaded with flavors ...,$32
180,Reinhold Haart 2017 Piesporter Goldtröpfchen Spätlese Grosse Lage Riesling (Mosel),94,"While initially driven by aromas of earth and smoke on the nose, ...",$38
181,Trisaetum 2018 Lassa Late Harvest Riesling (Willamette Valley),94,"A relatively light and delightful dessert wine, this is richly fruity without ...",$42
182,S.A. Prüm 2016 Graacher Himmelreich Spätlese Grosse Lage Riesling (Mosel),94,"Zaps of electric grapefruit and lime accent lush, tropical notes of guava ...",$42
183,Zilliken 2017 Saarburg Rausch Kabinett Grosse Lage Riesling (Mosel),94,"There's so much joy in this zippy, intensely honeyed Kabinett. Heady notes ...",$36
184,S.A. Prüm 2016 Wehlener Sonnenuhr Spätlese Grosse Lage Riesling (Mosel),94,"Savory nuances of smoke and saffron meld into penetrating honey, lemon and ...",$35
185,Trisaetum 2018 Estates Reserve Dry Riesling (Willamette Valley),93,The Reserve bottling melds best barrels from all three estate vineyards. In ...,$42
186,Trisaetum 2018 Estates Reserve Riesling (Willamette Valley),93,"A synthesis of the three estate vineyards, this reserve is spicy and ...",$42
187,Trisaetum 2018 Coast Range Estate Dry Riesling (Yamhill-Carlton),93,"This is a lip-smacking bottle of tangy juice, a bonanza of fruit ...",$32
188,Trisaetum 2018 Coast Range Estate Riesling (Yamhill-Carlton),93,"Wonderfully textured, this beautifully melds its ripe apple, peach and nectarine fruit. ...",$32
189,Zilliken 2017 Saarburg Rausch Spätlese Grosse Lage Riesling (Mosel),93,"Opening notes of smoke, wax and honey meld into sunny tangerine and ...",$58
190,Reichsgraf von Kesselstatt 2017 Saar Scharzhofberger Kabinett Feinherb Grosse Lage Riesling (Mosel),93,"Invigorating tangs of salt, lime and grapefruit extend from nose to finish ...",$28
191,Schloss Lieser 2018 Thomas Haag Brauneberger Juffer Sonnenuhr Spätlese Grosse Lage Riesling (Mosel),93,The nose here requires air and a bit of time to replace ...,$40
192,Reichsgraf von Kesselstatt 2017 Piesporter Goldtröpfchen Kabinett Grosse Lage Riesling (Mosel),93,"While the nose is initially smoky and restrained, bold darts of tropical ...",$27
193,Nägelsförst 2017 Steinreich Trocken Riesling (Baden),92,Firm strikes of smoke and crushed stone cut into sunny peach and ...,$57
194,Trisaetum 2018 Ribbon Ridge Estate Dry Riesling (Ribbon Ridge),92,"Extra tart, even in a lineup of four quite dry Rieslings from ...",$32
195,Trisaetum 2018 Ribbon Ridge Estate Riesling (Ribbon Ridge),92,"Big and fruity, this off-dry wine feels thicker and riper than the ...",$32
196,Schloss Lieser 2017 Thomas Haag Lieser Niederberg Helden Spätlese Riesling (Mosel),92,"The nose is earthen and closed initially, but aeration reveals a luminously ...",$38
197,Reichsgraf von Kesselstatt 2017 Piesporter Goldtröpfchen Spätlese Grosse Lage Riesling (Mosel),92,"Intense yellow apple and tangerine flavors are dusted by spicy minerals, saffron ...",$35
198,Bee Hunter 2014 Greenwood Ridge Dry Riesling (Anderson Valley),91,A vivid yellow color and heady aromas of diesel and peach warn ...,$32
199,Thanisch 2018 Brauneberger Juffer Spätlese Riesling (Mosel),91,"While light as a feather, this zippy medium-sweet Spätlese offers luscious, almost ...",$23
